supplier_id,name,carbon_footprint,recycling_rate,energy_efficiency,water_usage,waste_production,ISO_14001,Fair_Trade,Organic,B_Corp,Rainforest_Alliance,location,industry,lead_time_days,onboarding_cost_usd,switching_cost_usd
1,Supplier 1,714.1166769233291,29.57677421693583,75.16623547101494,251.4031719548862,390.9132356645378,0,0,0,0,0,Asia,Food,23.6,23269,12387
2,Supplier 2,148.4389169220004,39.31718786821429,69.29628140084088,3556.8194827979046,122.4677443100453,1,0,0,0,0,Africa,Food,5.9,25541,12181
3,Supplier 3,298.3238854953502,20.23858319699837,88.63688397017094,6627.169186980986,216.6788549204162,0,0,1,0,0,Africa,Electronics,44.7,57849,47465
4,Supplier 4,265.9346296288027,48.58008108618643,57.23741189880475,2725.639708714191,234.48690213737729,1,0,0,0,1,North America,Textiles,37.6,33733,17716
5,Supplier 5,258.3153109765273,63.19048130277249,66.21591647263133,6554.986500565352,161.74613614825734,0,0,0,1,0,North America,Chemicals,16.9,42903,28571
6,Supplier 6,830.8850559901963,52.04740784622126,78.82294715746612,9282.053946572889,96.73534230988996,0,0,1,1,1,Africa,Manufacturing,31.9,56393,37869
7,Supplier 7,931.0104982243508,82.63267604814271,91.8985707325292,4714.773709985899,141.33508581450604,1,0,0,1,1,South America,Electronics,40.9,69042,46754
8,Supplier 8,348.9169580173956,66.23684385576423,61.78104599406949,2150.3846505887764,427.6536467978239,0,1,0,1,1,Africa,Textiles,31.5,34836,19801
9,Supplier 9,837.7791054337018,39.95629340084561,80.96442861118311,9234.8710219338,497.0954146097067,1,0,1,1,1,North America,Electronics,43.9,80192,59400
10,Supplier 10,900.9034238000672,80.82665834885623,56.70736935599132,9463.980448331726,191.63038022845015,1,1,1,1,0,Europe,Food,21.5,36257,18017
11,Supplier 11,561.6734097065787,57.4615062727263,83.30697380394844,1435.565973797956,236.2579452941466,1,0,0,1,1,Africa,Electronics,49.6,72019,50878
12,Supplier 12,320.4681409619168,76.91077407529008,63.19315773594768,9006.421484304012,174.1443912947202,0,1,0,0,1,Africa,Chemicals,18.0,47285,29009
13,Supplier 13,841.8174364876702,62.45668147450391,60.96852970566833,2992.2767517002662,189.06496544999757,0,0,0,0,0,South America,Food,27.8,24204,12643
14,Supplier 14,292.38666703758594,52.80802711679443,60.34196470302127,1368.936887880434,346.71501229266994,0,0,0,1,0,Europe,Chemicals,26.4,40626,26535
15,Supplier 15,767.3203470112387,49.71158333130676,66.67930243254042,1268.9592333091648,370.30989388002325,0,1,1,1,0,South America,Electronics,38.9,70979,50001
16,Supplier 16,666.9461841307127,21.667646593990916,64.78497893665164,7618.555763143286,165.34841876203237,0,0,0,0,0,North America,Food,27.4,23300,12817
17,Supplier 17,934.6665326726504,55.2013091125972,77.56887523181679,975.580892746518,81.05984209372605,0,1,0,1,1,South America,Chemicals,24.6,48380,31783
18,Supplier 18,308.717369745777,66.76688016185793,74.51219300862363,7655.202261702742,356.6877412840242,1,1,0,0,0,Asia,Textiles,26.8,34266,17521
19,Supplier 19,819.2126157580745,90.95850657580564,83.73393972009089,2472.223684463265,225.30158870928847,1,1,1,0,1,Africa,Textiles,17.7,39849,21397
20,Supplier 20,566.3485331674428,52.64945601241151,63.27294284417181,4245.959520236914,458.98468503206175,0,0,1,1,1,Africa,Chemicals,37.0,51613,31836
21,Supplier 21,308.4000623353608,56.42310523099979,93.22491777687635,1515.8752865296751,210.5737134707338,1,0,0,0,1,Asia,Chemicals,15.4,44012,32651
22,Supplier 22,249.3135939166701,58.93363579846216,74.45672413700476,6561.430991512163,23.58035342353998,0,0,0,1,0,North America,Electronics,31.0,60520,43094
23,Supplier 23,548.0100716480144,50.64432349940869,80.57408667842829,4632.080675857905,365.80793351432186,0,0,0,0,0,Africa,Textiles,18.0,27898,16830
24,Supplier 24,624.4521765537879,63.40967891384354,80.97166618217085,3998.918498243481,493.033126237438,1,1,1,1,0,South America,Chemicals,24.9,56849,36253
25,Supplier 25,265.90418868563177,25.2763004956794,56.85340067372008,8066.264061430327,238.51729516545035,0,1,0,0,0,Europe,Manufacturing,22.6,47119,34624
26,Supplier 26,113.405425084209,56.62878734024179,56.52610031981015,4644.249593096447,476.7982005220777,1,0,0,0,1,North America,Chemicals,36.2,46899,30288
27,Supplier 27,524.0199060014147,65.76086212262993,70.7919719922401,6946.526539422575,89.66895710211355,0,0,1,0,0,Europe,Food,15.6,26406,13194
28,Supplier 28,755.4189953649355,75.79093304897424,73.48700900364693,7841.691863223069,114.30124714336708,0,1,0,0,1,South America,Chemicals,21.6,45527,29940
29,Supplier 29,926.7404425961888,52.2372740325685,62.24201389225348,6187.324456591461,177.3409004717472,1,1,1,1,0,Europe,Electronics,47.4,78828,55119
30,Supplier 30,662.9806051619177,42.71015995417882,58.10544261248254,9617.76985822728,208.9135576621187,0,0,1,0,1,North America,Textiles,26.2,33120,18271
31,Supplier 31,925.410315292842,20.44175249881023,72.67644892365037,5553.692669474443,450.734512300703,1,1,1,0,0,Europe,Food,18.4,32656,16236
32,Supplier 32,878.2212259843974,76.73592276094679,79.68372567839128,2268.224019982993,486.5297872793633,0,0,0,0,0,Africa,Textiles,42.6,26688,14143
33,Supplier 33,296.3285859249892,25.81819776489323,60.29395040400203,5464.610445043458,260.00399249184954,0,0,1,1,1,Europe,Electronics,34.8,74463,48176
34,Supplier 34,879.5146876644186,56.74910282441853,59.82882038886803,2521.1141102487613,351.4046959037132,0,1,1,0,0,Africa,Textiles,31.2,31230,17349
35,Supplier 35,757.6767427341284,42.82708225868422,92.97045765333569,924.9374703843562,317.53329755001096,0,0,0,0,0,Asia,Electronics,37.5,52317,43281
36,Supplier 36,350.078761269035,83.06166216322707,82.62018203739076,7587.984708260179,431.6610496474103,0,0,0,1,0,Africa,Chemicals,27.3,44396,28780
37,Supplier 37,817.3391978651181,91.2856896687563,51.54515817163916,2718.5257301610304,62.81294885633013,0,0,0,0,1,Africa,Food,38.0,26840,13150
38,Supplier 38,878.6995415593628,43.91559340507873,94.17276653862346,3205.040326715688,285.22066611502163,0,1,0,0,1,Africa,Chemicals,14.3,44542,32188
39,Supplier 39,369.4941060737115,87.3326216694693,50.382327483134986,9884.594295356706,406.0814093483304,1,1,1,1,1,North America,Food,23.0,41318,18001
40,Supplier 40,574.3378756272673,45.31467879577566,61.92328467430809,4065.5225327923354,389.3712873175893,1,1,1,1,1,Europe,Chemicals,27.4,63365,38832
41,Supplier 41,164.33812596105722,80.90840828851823,91.27958681905712,4468.989748684143,386.0563568919587,0,0,0,1,0,Africa,Food,14.5,26921,13795
42,Supplier 42,624.9145691359522,79.91326985443355,53.617447237541136,9213.927426384133,490.7880170413485,1,1,0,1,1,Asia,Manufacturing,47.7,66673,42187
43,Supplier 43,314.1157596666558,69.14638827583093,88.46220668991475,7921.657144977087,23.868869772681727,1,1,0,1,0,South America,Textiles,43.3,36459,19589
44,Supplier 44,788.4672814932836,37.1527591081704,56.51048288171135,8608.872667801174,61.987891372188976,1,0,1,1,1,Europe,Manufacturing,30.7,65900,41299
45,Supplier 45,256.2684725578623,30.32558485567013,58.06584849781253,4736.731467934748,85.13132272613105,1,0,0,1,1,South America,Electronics,41.8,70109,50169
46,Supplier 46,381.46803062569023,51.82783541952585,85.3103062984651,2203.785379907467,294.6320887741575,0,0,0,1,0,Asia,Food,15.1,23853,13419
47,Supplier 47,113.02702911106029,31.365406476448012,90.29408254754424,749.8242833590889,221.11026857832988,0,0,0,1,0,Africa,Manufacturing,42.0,47197,34061
48,Supplier 48,129.29672944593042,85.49547115910387,70.73304467325339,890.1587888538393,41.423410856838544,1,0,1,1,0,Europe,Chemicals,28.1,49443,32983
49,Supplier 49,547.0316576158065,33.43450681158511,51.73176569909992,1456.1965749246167,146.7997303223048,0,0,1,0,1,North America,Food,18.2,28692,13830
50,Supplier 50,521.4812809839186,22.27209962092454,64.18873670956421,2766.554349275768,201.4725246292858,0,0,1,1,0,Africa,Chemicals,31.5,44779,28092
